Date;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2 Sup;C4 inf;C5 supA;C5 inf;C6 s+m;C6 inf;BPL;MgO;Fe2O3;SiO2;CO2;BPL;MgO;Fe2O3;SiO2;CO2
16-juin;;50;5;;;;;;11;35;0;51.27;1.47;;12.93;10.13;50.33;1.74;;13.12;10.53
17-juin;;48;12;;;;;;25;15;0;50.3;1.4;;13.52;10.44;52.26;1.23;;13.42;9.57
18-juin;;61;7;;;;;;10;21;0;51.51;1.39;;13.64;9.65;51.36;1.24;;15.8;8.79
19-juin;;74;;;;;;;23;4;0;52.98;1.51;;11.13;10.42;49.47;1.41;;16.39;9.26
20-juin;;66;;;;;;;34;0;0;53.15;1.63;;10.55;10.57;53.41;1.78;;12.5;9.43
21-juin;;65;5;;;;;;30;0;0;52.23;1.51;;11.07;10.87;53.11;1.44;;13.94;8.39
22-juin;;61;;;;;;;39;0;0;52.54;1.62;;11.7;10.65;52.69;1.72;;11.94;8.66
23-juin;;58;11;;;;;;32;0;0;52.3;1.61;;10.82;10.95;55;1.5;;10.16;8.93
24-juin;;51;12;;;;;;37;0;0;52.65;1.71;;10.62;11.07;53.78;1.42;;9.81;11.07
25-juin;;54;7;;;;;;39;0;0;53;1.87;;9.19;11.24;48.09;1.88;;10.81;10.91
26-juin;;74;;;;;;;26;0;0;52.75;1.75;;11.26;10.66;50.72;1.82;;10.64;11.32
27-juin;;88;9;;;;;;4;0;0;51.26;1.55;;12.83;10.95;52.15;1.8;;13.16;10.53
28-juin;;58;5;;;;;;38;0;0;53.05;1.73;;11.88;10.56;48.35;1.88;;13.6;12.18
29-juin;;73;;;;;;;8;0;19;53.12;1.43;;9.77;9.54;52.7;1.55;;11.62;9.66
30-juin;;65;13;;;;;;0;0;22;52.09;1.32;;8.99;9.97;53.09;1.37;;11.78;8.29
1-juil.;34;30;13;;;; -     ; -     ; -     ;23; -     ;51.37;1.46;;14.72;6.21;52.94;1.27;;12.43;9.3
2-juil.;26;42; -     ;;;; -     ; -     ; -     ;32; -     ;53.02;1.36;;14.73;5.86;55.33;1.17;;12.73;8.76
3-juil.;32;32; -     ;;;; -     ; -     ; -     ;36; -     ;53.27;1.37;;16.08;5.01;51.18;1.18;;14.81;8.63
4-juil.;42;20; -     ;;;; -     ; -     ; -     ;38; -     ;53.26;1.27;;14.76;4.65;52.19;1;;16.09;8.06
5-juil.;46;15;5;;;; -     ; -     ; -     ;34; -     ;52.27;1.29;;13.7;5.32;56.25;1;;13.29;6.4
6-juil.;40;11;13;;;; -     ; -     ; -     ;35; -     ;52.38;1.41;;13.77;4.99;52.26;1.19;;14.37;7.73
7-juil.;50;19;2;;;; -     ; -     ; -     ;28; -     ;52.71;1.48;;13.56;4.7;54.69;1.03;;13.82;6.82
8-juil.;48;7;5;;;; -     ; -     ;9; -     ;31;52.56;1.54;;12.12;5.66;54.49;1.02;;12.9;6.77
9-juil.;35;15;2;;;; -     ; -     ;22; -     ;26;52.52;1.56;;11.98;6.57;53.6;1.66;;10.9;10.69
10-juil.;35;11; -     ;;;; -     ; -     ;27;26; -     ;54.43;1.47;;12.98;5.64;49.38;1.52;;12.4;10.46
11-juil.;40;2; -     ;;;; -     ; -     ;24;34; -     ;54.56;1.48;;11.54;9.04;55.6;1.58;;10.4;9.88
12-juil.;30;12;4;;;; -     ; -     ;26;28; -     ;52.9;1.58;;13.07;9.41;54.77;1.61;;11.39;8.93
13-juil.;27;12;2;;;; -     ; -     ;32;24;4;51.96;1.74;;13;9.45;52.52;1.72;;11.51;10.74
14-juil.;29;16;6;;;; -     ; -     ;22;27; -     ;52.15;1.58;;12.67;9.55;50.07;1.88;;12.84;9.39
15-juil.;33;24;9;;;; -     ; -     ;14;21; -     ;51.53;1.57;;12.8;9.75;54.88;1.66;;11.76;8.83
16-juil.;35;9;16;;;; -     ; -     ;12;27; -     ;51.82;1.5;;12.34;9.5;53.35;1.57;;13.45;8.87
17-juil.;39;14;7;;;; -     ; -     ;15;25; -     ;52.74;1.56;;11.57;9.66;55.48;1.48;;11.85;8.11
18-juil.;39;17;7;;;; -     ; -     ;14;24; -     ;53.27;1.57;;11.94;9.28;56.37;1.24;;13.92;7.45
19-juil.;31;9;10;;;; -     ; -     ;25;26; -     ;52.33;1.58;;11.63;9.77;51.58;1.72;;15.34;9.02
20-juil.;32;11;5;;;; -     ; -     ;27;25; -     ;52.78;1.61;;11.42;9.77;54.56;1.78;;12.59;9.43
21-juil.; -     ; -     ; - ;;;; - ; - ; -     ; - ; - ;;;;;;;;;;
22-juil.; -     ;15;14;;;;12; -     ;43;16; -     ;50.2;1.85;;13.29;10.12;53.22;1.8;;10.23;9.36
23-juil.; -     ;38;4;;;;18; -     ;26;14; -     ;49.52;1.69;;13.21;10.61;46.12;1.69;;18.14;9.96
24-juil.; -     ;31;7;;;;19;14;2;27; -     ;49.57;1.53;;14.43;9.73;53.33;1.33;;16.43;8.27
25-juil.; -     ;29;10;;;; -     ;19; -     ;41; -     ;50.62;1.36;;11.94;8.02;54.19;1.5;;15.16;7.9
26-juil.; -     ;28;5;;;; -     ;22;3;42; -     ;51.89;1.38;;14.44;8.13;53.88;1.67;;14.81;8.14
27-juil.;2;32;8;;;; -     ;10;5;44; -     ;52.95;1.41;;14.91;7.59;51.96;1.79;;14.47;9
28-juil.;6;35;2;;;; -     ; -     ;13;44; -     ;53.66;1.38;;15.24;7.3;54.95;1.65;;12.7;8.03
29-juil.;12;29; -     ;;;;7; -     ;18;34; -     ;52.99;1.49;;12.17;7.36;53.22;1.78;;13.04;9.96
30-juil.;13;8;8;;;;20; -     ;27;23; -     ;53.47;1.53;;11.7;6.7;55.29;1.64;;14.27;8.28
31-juil.;18;14;13;;;;9; -     ;24;22; -     ;51.36;1.57;;11.88;9.19;53.65;1.67;;11.93;8.03
1-août;24;29;7;;; -     ;; -     ; -     ;40; -     ;52.91;1.37;;11.61;7.52;57.43;1.25;;11.55;8.46
2-août;18;43;9;;;10;; -     ; -     ;20; -     ;51.03;1.61;;12.44;7.81;54.35;1.42;;12.11;7.97
3-août;15;14;13;;;11;; -     ;24;23; -     ;52.4;1.6;;11.87;8.36;53.09;1.33;;12.69;9.63
4-août;12;15;12;;;9;; -     ;32;19; -     ;51.86;1.67;;11.68;8.96;55.77;1.33;;12.06;7.54
